geoid	detail	st_fip	cty_fip	trt_fip	state	county	pop_tot	pop_wht	pop_blk	pop_his	pop_asi	pop_two	pop_oth	pop_nat	pop_isl	pop_nw	emp_une	emp_emp	ed_grad	ed_bs	ed_as	ed_hs	ed_l_hs	med_inc
06041101100	Census Tract 1011, Marin County, California	06	041	101100	California	Marin County	2625	0.9428571428571428	0	0.014476190476190476	0.03123809523809524	0.011428571428571429	0	0	0	0.05714285714285716	0.07174231332357248	0.9282576866764275	0.19356460532931122	0.41578682755153346	0.07742584213172449	0.28054298642533937	0.0326797385620915	134766
06041101200	Census Tract 1012, Marin County, California	06	041	101200	California	Marin County	3056	0.6495418848167539	0	0.2846858638743455	0.0487565445026178	0.017015706806282723	0	0	0	0.3504581151832461	0.06710310965630115	0.9328968903436988	0.15104895104895105	0.20186480186480185	0.1034965034965035	0.45034965034965035	0.09324009324009319	86339
06041102100	Census Tract 1021, Marin County, California	06	041	102100	California	Marin County	2263	0.831639416703491	0.0061864781263809105	0.08395934600088378	0.05302695536897923	0.0207688908528502	0	0	0.004418912947414936	0.16836058329650905	0.051924798567591766	0.9480752014324082	0.2491506228765572	0.3516421291053228	0.04869762174405436	0.32559456398640996	0.02491506228765572	100278
06041102202	Census Tract 1022.02, Marin County, California	06	041	102202	California	Marin County	6515	0.6580199539524175	0.011051419800460476	0.27321565617805066	0.041596316193399846	0.016116653875671526	0	0	0	0.3419800460475825	0.11499684940138627	0.8850031505986138	0.1897276953730352	0.29178658401593977	0.05999557228248838	0.39008191277396503	0.06840823555457165	74148
06041102203	Census Tract 1022.03, Marin County, California	06	041	102203	California	Marin County	5371	0.4924595047477192	0.030161981009123068	0.330850865760566	0.05790355613479799	0.07745298827034072	0.00968162353379259	0	0.0014894805436603984	0.5075404952522808	0.07649427067203468	0.9235057293279654	0.13324572930354797	0.1590013140604468	0.08804204993429698	0.47069645203679367	0.1490144546649146	64091
06041103100	Census Tract 1031, Marin County, California	06	041	103100	California	Marin County	7639	0.8414713967796832	0.011388925251996335	0.06257363529257756	0.03678491949208011	0.045686608194789896	0	0.002094514988872889	0	0.1585286032203168	0.029420505200594353	0.9705794947994056	0.17698783910196444	0.3186155285313377	0.07614593077642656	0.40467726847521046	0.02357343311506077	106617
06041103200	Census Tract 1032, Marin County, California	06	041	103200	California	Marin County	6587	0.6608471231212996	0.019128586609989374	0.16790648246546228	0.07226354941551541	0.0601184150599666	0.011993320176104449	0.007742523151662365	0	0.33915287687870044	0.05163204747774481	0.9483679525222551	0.15752319483662766	0.30798709156918114	0.048608309802339655	0.4112545381202098	0.07462686567164178	73864
06041104101	Census Tract 1041.01, Marin County, California	06	041	104101	California	Marin County	8453	0.7131196025079853	0.022358925825150835	0.1787531054063646	0.06281793446113806	0.014551046965574353	0.008399384833786822	0	0	0.28688039749201466	0.06808257244938468	0.9319174275506154	0.21654381654381655	0.25847665847665846	0.08386568386568387	0.37035217035217033	0.07076167076167073	93750
06041104102	Census Tract 1041.02, Marin County, California	06	041	104102	California	Marin County	5303	0.5957005468602677	0.019234395625117858	0.2707901188006789	0.06901753724306996	0.01791438808221761	0.025268715821233263	0.002074297567414671	0	0.40429945313973226	0.041416165664662656	0.9585838343353373	0.09454949944382647	0.20161290322580644	0.14655172413793102	0.4905450500556173	0.06674082313681873	61151
06041104200	Census Tract 1042, Marin County, California	06	041	104200	California	Marin County	5495	0.7301182893539582	0.011464968152866241	0.18689717925386715	0.033303002729754325	0.03821656050955414	0	0	0	0.26988171064604183	0.04343220338983051	0.9565677966101694	0.18253599628425451	0.34045517882025084	0.06525777984208082	0.3260566651184394	0.08569437993497453	79107
06041104300	Census Tract 1043, Marin County, California	06	041	104300	California	Marin County	1631	0.8350705088902514	0.014101778050275904	0.05885959534028203	0.05150214592274678	0.03372164316370325	0	0.00674432863274065	0	0.16492949110974864	0.10010764262648009	0.8998923573735199	0.1696	0.2856	0.0752	0.4376	0.03199999999999992	92188
06041105000	Census Tract 1050, Marin County, California	06	041	105000	California	Marin County	6278	0.6035361580121058	0.03838802166294998	0.2150366358712966	0.08951895508123606	0.0535202293724116	0	0	0	0.3964638419878942	0.08429458740017746	0.9157054125998225	0.22771139705882354	0.23207720588235295	0.11328125	0.38534007352941174	0.041590073529411686	65052
06041106001	Census Tract 1060.01, Marin County, California	06	041	106001	California	Marin County	4085	0.6817625458996328	0.0609547123623011	0.1033047735618115	0.0937576499388005	0.0602203182374541	0	0	0	0.3182374541003672	0.03906976744186046	0.9609302325581396	0.22148916116870876	0.27772541627395536	0.11058749607288722	0.3217090794847628	0.06848884699968583	57700
06041106002	Census Tract 1060.02, Marin County, California	06	041	106002	California	Marin County	6530	0.6055130168453292	0.02113323124042879	0.25467075038284837	0.08529862174578867	0.0333843797856049	0	0	0	0.3944869831546708	0.039598997493734335	0.9604010025062657	0.12308715901530273	0.3000665335994677	0.08316699933466401	0.4080727434020847	0.08560656464848093	85839
06041107000	Census Tract 1070, Marin County, California	06	041	107000	California	Marin County	6385	0.8223962411902898	0.00548159749412686	0.08081440877055598	0.07783868441660141	0.013469068128425998	0	0	0	0.17760375880971024	0.05502318392581144	0.9449768160741886	0.2680779710752463	0.3240410815342695	0.04778872353804234	0.31272269964368055	0.04736952420876128	117692
06041108100	Census Tract 1081, Marin County, California	06	041	108100	California	Marin County	6834	0.7960199004975125	0.005706760316066725	0.09628328943517706	0.06818846941761779	0.01887620719929763	0	0	0.014925373134328358	0.20398009950248752	0.018304702900591382	0.9816952970994086	0.2500488376636062	0.3109982418441102	0.07481930064465717	0.31939831998437196	0.04473529986325453	109038
